k	Silhouette	DBI	WCSS	Curvature
2	0.045952008288995816	4.549736895339348	207080.37291394715	NA
3	0.04816407357240346	3.4980412421195997	201141.27037935422	850.5069248299405
4	0.03813839711232314	3.7176157908583862	196052.67476959122	1148.2185856361175
5	0.038843908404849276	3.2105990415656604	192112.29774546434	970.7975609726273
6	0.028778313233383333	3.398937273016212	189142.7182823101	191.84077577874996
7	0.033108073784073364	3.3543606603572123	186364.9795949346	326.5836734188488
8	0.019745288593720423	3.4048668403754063	183913.82458097793	-152.8164601016906
9	0.0230520487239684	3.179240555528175	181309.8531069196	1060.178909395705
10	0.020223595647483387	3.3073955730174913	179766.06054225695	NA
