k	Silhouette	DBI	WCSS	Curvature
2	0.04788572526610973	4.468486330426631	206112.53089004935	NA
3	0.03657222103221302	4.419551883620741	200515.93426674115	2075.8938857892063
4	0.035440671599531105	3.8983345440709547	196995.23152922216	-0.35079896767274477
5	0.018593303620060717	3.6826837561320787	193474.1779927355	649.2630929292645
6	0.03226698666722865	3.44804339832422	190602.3875491781	-1027.6046887196426
7	0.03371470071515242	3.0668328644233687	186702.99241690105	1519.4971403120144
8	0.022359793514531517	3.292225910178927	184323.09442493602	330.2772187466617
9	0.01849933189015025	3.3448252636795464	182273.47365171765	207.73821117219632
10	0.01757043078869936	3.381256611038234	180431.59108967148	NA
