k	Silhouette	DBI	WCSS	Curvature
2	0.04748764240894361	4.405989421201692	205083.0944383887	NA
3	0.03845522627258394	4.444570176854188	199649.89455091135	1693.0789081619296
4	0.03939258799814645	3.5330609694111166	195909.77357159593	470.3583329494286
5	0.03151593958187472	3.5883632371298857	192640.01092522993	512.4004649017006
6	0.02761106235852403	3.4893454186185218	189882.64874376563	-112.97553981366218
7	0.01865087585725558	3.5557782337740242	187012.31102248767	772.5025193559995
8	0.02286578179557173	3.5345117138444735	184914.4758205657	277.3007004664105
9	0.022803225129152588	3.5723840948495544	183093.94131911016	274.69867256077123
10	0.01994288075841928	3.5617694332975973	181548.10549021538	NA
