human	121387	+	107294	-	1	strand	14093	0.0616273
bonobo	114791	+	102127	-	1	strand	12664	0.0583815
chimpanzee	117807	+	104180	-	1	strand	13627	0.0613865
gorilla	115221	+	101771	-	1	strand	13450	0.0619839
borangutan	113486	+	51260	-	1	strand	62226	0.377709
sorangutan	113496	+	46243	-	1	strand	67253	0.421018
gibbon	115917	+	104973	-	1	strand	10944	0.049545
