gorilla		496174	-	525817	+	29643	0.0290051
chimpanzee		716493	-	731842	+	15349	0.0105977
gibbon		564923	-	526745	+	-38178	-0.0349722
borangutan		483983	-	506717	+	22734	0.0229474
bonobo		487382	-	511195	+	23813	0.0238469
human		828555	-	848923	+	20368	0.012142
sorangutan		500067	-	528708	+	28641	0.0278399
